  time [s] theta [rad]  thetadot [rad/s]    k_energy    p_energy   total_energy
   0.01000     0.52309          -0.05137     0.00132     1.31177        1.31309
   0.02000     0.52206          -0.10268     0.00527     1.30674        1.31202
   0.03000     0.52052          -0.15389     0.01184     1.29923        1.31107
   0.04000     0.51847          -0.20496     0.02100     1.28925        1.31025
   0.05000     0.51591          -0.25582     0.03272     1.27684        1.30956
   0.06000     0.51285          -0.30643     0.04695     1.26205        1.30900
   0.07000     0.50928          -0.35674     0.06363     1.24493        1.30856
   0.08000     0.50521          -0.40670     0.08270     1.22555        1.30825
   0.09000     0.50065          -0.45626     0.10409     1.20398        1.30806
   0.10000     0.49560          -0.50538     0.12770     1.18029        1.30799
   0.11000     0.49006          -0.55399     0.15345     1.15458        1.30803
   0.12000     0.48404          -0.60207     0.18124     1.12693        1.30818
   0.13000     0.47754          -0.64955     0.21096     1.09746        1.30842
   0.14000     0.47058          -0.69640     0.24249     1.06628        1.30876
   0.15000     0.46315          -0.74256     0.27570     1.03349        1.30919
   0.16000     0.45527          -0.78800     0.31047     0.99923        1.30970
   0.17000     0.44694          -0.83266     0.34666     0.96362        1.31028
   0.18000     0.43818          -0.87650     0.38413     0.92679        1.31092
   0.19000     0.42898          -0.91949     0.42273     0.88890        1.31163
   0.20000     0.41937          -0.96157     0.46231     0.85007        1.31239
   0.21000     0.40934          -1.00271     0.50272     0.81047        1.31319
   0.22000     0.39891          -1.04287     0.54379     0.77024        1.31403
   0.23000     0.38809          -1.08200     0.58537     0.72955        1.31491
   0.24000     0.37689          -1.12007     0.62728     0.68853        1.31582
   0.25000     0.36532          -1.15705     0.66938     0.64737        1.31675
   0.26000     0.35339          -1.19289     0.71149     0.60622        1.31771
   0.27000     0.34112          -1.22755     0.75344     0.56524        1.31868
   0.28000     0.32851          -1.26102     0.79508     0.52459        1.31967
   0.29000     0.31557          -1.29324     0.83624     0.48444        1.32068
   0.30000     0.30233          -1.32420     0.87676     0.44494        1.32169
   0.31000     0.28879          -1.35386     0.91647     0.40625        1.32272
   0.32000     0.27497          -1.38219     0.95523     0.36853        1.32376
   0.33000     0.26088          -1.40917     0.99287     0.33194        1.32481
   0.34000     0.24653          -1.43476     1.02927     0.29661        1.32588
   0.35000     0.23194          -1.45894     1.06426     0.26270        1.32695
   0.36000     0.21713          -1.48170     1.09771     0.23033        1.32805
   0.37000     0.20210          -1.50300     1.12950     0.19965        1.32915
   0.38000     0.18687          -1.52282     1.15949     0.17078        1.33028
   0.39000     0.17146          -1.54115     1.18758     0.14384        1.33142
   0.40000     0.15588          -1.55797     1.21364     0.11894        1.33258
   0.41000     0.14014          -1.57327     1.23758     0.09618        1.33376
   0.42000     0.12427          -1.58701     1.25931     0.07566        1.33496
   0.43000     0.10828          -1.59921     1.27873     0.05745        1.33618
   0.44000     0.09218          -1.60983     1.29577     0.04165        1.33743
   0.45000     0.07599          -1.61887     1.31037     0.02831        1.33869
   0.46000     0.05973          -1.62633     1.32247     0.01750        1.33996
   0.47000     0.04341          -1.63219     1.33202     0.00924        1.34126
   0.48000     0.02705          -1.63644     1.33897     0.00359        1.34256
   0.49000     0.01065          -1.63910     1.34332     0.00056        1.34388
   0.50000    -0.00575          -1.64014     1.34503     0.00016        1.34520
   0.51000    -0.02214          -1.63958     1.34411     0.00240        1.34651
   0.52000    -0.03852          -1.63741     1.34055     0.00728        1.34783
   0.53000    -0.05485          -1.63363     1.33437     0.01475        1.34913
   0.54000    -0.07114          -1.62825     1.32559     0.02481        1.35040
   0.55000    -0.08735          -1.62127     1.31426     0.03740        1.35166
   0.56000    -0.10348          -1.61270     1.30040     0.05247        1.35287
   0.57000    -0.11950          -1.60255     1.28408     0.06996        1.35404
   0.58000    -0.13541          -1.59083     1.26536     0.08980        1.35516
   0.59000    -0.15118          -1.57754     1.24432     0.11190        1.35622
   0.60000    -0.16681          -1.56271     1.22103     0.13617        1.35720
   0.61000    -0.18228          -1.54635     1.19559     0.16251        1.35811
   0.62000    -0.19756          -1.52847     1.16810     0.19082        1.35892
   0.63000    -0.21265          -1.50909     1.13867     0.22097        1.35964
   0.64000    -0.22753          -1.48822     1.10741     0.25284        1.36025
   0.65000    -0.24219          -1.46590     1.07444     0.28631        1.36074
   0.66000    -0.25661          -1.44214     1.03989     0.32123        1.36112
   0.67000    -0.27078          -1.41697     1.00390     0.35746        1.36136
   0.68000    -0.28469          -1.39041     0.96662     0.39486        1.36147
   0.69000    -0.29831          -1.36248     0.92817     0.43327        1.36144
   0.70000    -0.31164          -1.33321     0.88873     0.47254        1.36127
   0.71000    -0.32467          -1.30264     0.84844     0.51251        1.36095
   0.72000    -0.33738          -1.27079     0.80746     0.55303        1.36049
   0.73000    -0.34976          -1.23770     0.76594     0.59393        1.35988
   0.74000    -0.36179          -1.20338     0.72407     0.63505        1.35912
   0.75000    -0.37347          -1.16789     0.68199     0.67623        1.35821
   0.76000    -0.38478          -1.13126     0.63987     0.71730        1.35717
   0.77000    -0.39572          -1.09351     0.59788     0.75811        1.35599
   0.78000    -0.40626          -1.05469     0.55618     0.79849        1.35468
   0.79000    -0.41641          -1.01483     0.51494     0.83830        1.35324
   0.80000    -0.42615          -0.97398     0.47432     0.87737        1.35169
   0.81000    -0.43547          -0.93218     0.43448     0.91556        1.35004
   0.82000    -0.44437          -0.88946     0.39557     0.95272        1.34829
   0.83000    -0.45283          -0.84587     0.35775     0.98871        1.34645
   0.84000    -0.46084          -0.80144     0.32116     1.02339        1.34454
   0.85000    -0.46840          -0.75624     0.28595     1.05663        1.34258
   0.86000    -0.47551          -0.71029     0.25225     1.08831        1.34056
