	time [s]	theta [rad]	thetadot [rad/s]	k_energy	p_energy	total_energy
	0.01000	0.52311	-0.04905	0.00120	1.31189	1.31309
	0.02000	0.52213	-0.09806	0.00481	1.30708	1.31189
	0.03000	0.52066	-0.14698	0.01080	1.29990	1.31070
	0.04000	0.51870	-0.19578	0.01917	1.29036	1.30953
	0.05000	0.51626	-0.24442	0.02987	1.27850	1.30837
	0.06000	0.51333	-0.29284	0.04288	1.26436	1.30724
	0.07000	0.50992	-0.34102	0.05815	1.24798	1.30613
	0.08000	0.50603	-0.38890	0.07562	1.22942	1.30504
	0.09000	0.50166	-0.43645	0.09524	1.20875	1.30400
	0.10000	0.49683	-0.48362	0.11695	1.18604	1.30298
	0.11000	0.49152	-0.53038	0.14065	1.16136	1.30201
	0.12000	0.48576	-0.57668	0.16628	1.13480	1.30108
	0.13000	0.47953	-0.62248	0.19374	1.10646	1.30020
	0.14000	0.47285	-0.66774	0.22294	1.07643	1.29937
	0.15000	0.46573	-0.71242	0.25377	1.04483	1.29860
	0.16000	0.45817	-0.75647	0.28613	1.01175	1.29788
	0.17000	0.45017	-0.79986	0.31989	0.97733	1.29722
	0.18000	0.44174	-0.84255	0.35494	0.94168	1.29662
	0.19000	0.43290	-0.88449	0.39116	0.90493	1.29609
	0.20000	0.42364	-0.92564	0.42841	0.86722	1.29562
	0.21000	0.41398	-0.96597	0.46655	0.82868	1.29523
	0.22000	0.40393	-1.00543	0.50545	0.78946	1.29491
	0.23000	0.39349	-1.04399	0.54495	0.74970	1.29465
	0.24000	0.38267	-1.08160	0.58493	0.70955	1.29448
	0.25000	0.37149	-1.11823	0.62522	0.66916	1.29438
	0.26000	0.35995	-1.15384	0.66567	0.62868	1.29435
	0.27000	0.34807	-1.18839	0.70614	0.58826	1.29440
	0.28000	0.33585	-1.22185	0.74646	0.54807	1.29453
	0.29000	0.32331	-1.25418	0.78649	0.50825	1.29474
	0.30000	0.31045	-1.28535	0.82606	0.46896	1.29502
	0.31000	0.29730	-1.31532	0.86503	0.43035	1.29538
	0.32000	0.28386	-1.34406	0.90324	0.39258	1.29582
	0.33000	0.27014	-1.37153	0.94055	0.35578	1.29633
	0.34000	0.25617	-1.39771	0.97680	0.32011	1.29691
	0.35000	0.24194	-1.42257	1.01185	0.28572	1.29756
	0.36000	0.22748	-1.44607	1.04556	0.25273	1.29829
	0.37000	0.21280	-1.46819	1.07780	0.22127	1.29907
	0.38000	0.19791	-1.48891	1.10843	0.19149	1.29992
	0.39000	0.18283	-1.50820	1.13733	0.16350	1.30083
	0.40000	0.16757	-1.52604	1.16439	0.13740	1.30180
	0.41000	0.15214	-1.54240	1.18949	0.11332	1.30281
	0.42000	0.13657	-1.55727	1.21254	0.09134	1.30388
	0.43000	0.12086	-1.57062	1.23342	0.07156	1.30499
	0.44000	0.10504	-1.58245	1.25207	0.05407	1.30614
	0.45000	0.08911	-1.59273	1.26840	0.03892	1.30732
	0.46000	0.07310	-1.60146	1.28234	0.02620	1.30854
	0.47000	0.05701	-1.60863	1.29384	0.01594	1.30978
	0.48000	0.04087	-1.61422	1.30285	0.00819	1.31104
	0.49000	0.02469	-1.61823	1.30933	0.00299	1.31232
	0.50000	0.00848	-1.62065	1.31325	0.00035	1.31360
	0.51000	-0.00774	-1.62148	1.31460	0.00029	1.31489
	0.52000	-0.02394	-1.62072	1.31337	0.00281	1.31618
	0.53000	-0.04013	-1.61837	1.30956	0.00790	1.31746
	0.54000	-0.05627	-1.61444	1.30320	0.01553	1.31873
	0.55000	-0.07236	-1.60892	1.29431	0.02567	1.31998
	0.56000	-0.08838	-1.60183	1.28293	0.03829	1.32121
	0.57000	-0.10431	-1.59317	1.26909	0.05332	1.32241
	0.58000	-0.12014	-1.58295	1.25287	0.07071	1.32358
	0.59000	-0.13585	-1.57120	1.23433	0.09039	1.32472
	0.60000	-0.15143	-1.55791	1.21354	0.11226	1.32581
	0.61000	-0.16686	-1.54311	1.19060	0.13625	1.32685
	0.62000	-0.18213	-1.52682	1.16559	0.16226	1.32784
	0.63000	-0.19722	-1.50905	1.13862	0.19017	1.32878
	0.64000	-0.21212	-1.48983	1.10979	0.21987	1.32967
	0.65000	-0.22681	-1.46918	1.07924	0.25125	1.33049
	0.66000	-0.24128	-1.44712	1.04707	0.28417	1.33124
	0.67000	-0.25552	-1.42368	1.01343	0.31851	1.33193
	0.68000	-0.26951	-1.39888	0.97843	0.35412	1.33255
	0.69000	-0.28323	-1.37276	0.94224	0.39086	1.33310
	0.70000	-0.29669	-1.34535	0.90498	0.42860	1.33358
	0.71000	-0.30985	-1.31667	0.86680	0.46717	1.33398
	0.72000	-0.32272	-1.28675	0.82787	0.50644	1.33430
	0.73000	-0.33528	-1.25564	0.78832	0.54623	1.33455
	0.74000	-0.34751	-1.22336	0.74831	0.58641	1.33472
	0.75000	-0.35941	-1.18995	0.70799	0.62682	1.33482
	0.76000	-0.37097	-1.15545	0.66753	0.66730	1.33483
	0.77000	-0.38217	-1.11989	0.62707	0.70770	1.33477
	0.78000	-0.39300	-1.08330	0.58677	0.74787	1.33464
	0.79000	-0.40346	-1.04573	0.54678	0.78765	1.33443
	0.80000	-0.41353	-1.00722	0.50725	0.82690	1.33414
	0.81000	-0.42321	-0.96780	0.46832	0.86547	1.33378
	0.82000	-0.43248	-0.92751	0.43014	0.90322	1.33336
	0.83000	-0.44134	-0.88639	0.39285	0.94001	1.33286
	0.84000	-0.44979	-0.84449	0.35658	0.97572	1.33230
	0.85000	-0.45781	-0.80184	0.32147	1.01020	1.33167
	0.86000	-0.46539	-0.75848	0.28765	1.04334	1.33099
	0.87000	-0.47254	-0.71446	0.25522	1.07502	1.33024
	0.88000	-0.47924	-0.66981	0.22432	1.10512	1.32944
	0.89000	-0.48548	-0.62457	0.19504	1.13354	1.32859
	0.90000	-0.49127	-0.57880	0.16750	1.16018	1.32768
	0.91000	-0.49659	-0.53252	0.14179	1.18495	1.32674
	0.92000	-0.50145	-0.48578	0.11799	1.20775	1.32574
	0.93000	-0.50584	-0.43862	0.09619	1.22852	1.32472
	0.94000	-0.50975	-0.39109	0.07648	1.24718	1.32365
	0.95000	-0.51318	-0.34322	0.05890	1.26366	1.32256
	0.96000	-0.51613	-0.29506	0.04353	1.27790	1.32143
	0.97000	-0.51860	-0.24664	0.03042	1.28987	1.32029
	0.98000	-0.52058	-0.19802	0.01961	1.29952	1.31912
	0.99000	-0.52207	-0.14923	0.01113	1.30681	1.31794
	1.00000	-0.52307	-0.10031	0.00503	1.31172	1.31675
	1.01000	-0.52359	-0.05130	0.00132	1.31423	1.31555
	1.02000	-0.52361	-0.00225	0.00000	1.31434	1.31435
	1.03000	-0.52314	0.04680	0.00110	1.31205	1.31314
	1.04000	-0.52218	0.09581	0.00459	1.30736	1.31195
	1.05000	-0.52074	0.14474	0.01047	1.30028	1.31076
	1.06000	-0.51880	0.19355	0.01873	1.29085	1.30958
	1.07000	-0.51638	0.24219	0.02933	1.27910	1.30843
	1.08000	-0.51347	0.29062	0.04223	1.26506	1.30729
	1.09000	-0.51008	0.33881	0.05740	1.24878	1.30618
	1.10000	-0.50622	0.38671	0.07477	1.23032	1.30509
	1.11000	-0.50187	0.43428	0.09430	1.20975	1.30404
	1.12000	-0.49706	0.48147	0.11591	1.18712	1.30303
	1.13000	-0.49178	0.52825	0.13952	1.16253	1.30206
	1.14000	-0.48603	0.57457	0.16506	1.13606	1.30113
	1.15000	-0.47983	0.62039	0.19244	1.10780	1.30024
	1.16000	-0.47317	0.66568	0.22156	1.07785	1.29941
	1.17000	-0.46607	0.71038	0.25232	1.04631	1.29863
	1.18000	-0.45852	0.75447	0.28461	1.01330	1.29791
	1.19000	-0.45054	0.79789	0.31831	0.97893	1.29725
	1.20000	-0.44214	0.84061	0.35331	0.94334	1.29665
	1.21000	-0.43331	0.88258	0.38948	0.90664	1.29611
	1.22000	-0.42407	0.92377	0.42668	0.86897	1.29564
	1.23000	-0.41443	0.96414	0.46478	0.83047	1.29525
	1.24000	-0.40440	1.00364	0.50365	0.79127	1.29492
	1.25000	-0.39397	1.04224	0.54313	0.75153	1.29466
	1.26000	-0.38317	1.07989	0.58309	0.71140	1.29448
	1.27000	-0.37201	1.11657	0.62337	0.67101	1.29438
	1.28000	-0.36049	1.15223	0.66382	0.63054	1.29435
	1.29000	-0.34862	1.18683	0.70429	0.59012	1.29440
	1.30000	-0.33641	1.22034	0.74462	0.54991	1.29453
	1.31000	-0.32389	1.25273	0.78466	0.51007	1.29473
	1.32000	-0.31105	1.28395	0.82426	0.47075	1.29501
	1.33000	-0.29791	1.31397	0.86326	0.43211	1.29537
	1.34000	-0.28448	1.34277	0.90151	0.39429	1.29580
	1.35000	-0.27078	1.37030	0.93886	0.35745	1.29630
	1.36000	-0.25681	1.39654	0.97516	0.32172	1.29688
	1.37000	-0.24260	1.42146	1.01027	0.28726	1.29753
	1.38000	-0.22815	1.44502	1.04404	0.25421	1.29825
	1.39000	-0.21348	1.46721	1.07635	0.22268	1.29903
	1.40000	-0.19860	1.48799	1.10706	0.19282	1.29988
	1.41000	-0.18352	1.50735	1.13605	0.16474	1.30079
	1.42000	-0.16827	1.52525	1.16319	0.13856	1.30175
	1.43000	-0.15285	1.54168	1.18839	0.11438	1.30277
