Time [s]	Angle [rad]	Angular velocity [rad/s]
0.00000	0.52350	0.00000
0.10000	0.47214	-0.51355
0.20000	0.37447	-0.97673
0.30000	0.24006	-1.34408
0.40000	0.08210	-1.57959
0.50000	-0.08391	-1.66013
0.60000	-0.24169	-1.57782
0.70000	-0.37576	-1.34072
0.80000	-0.47297	-0.97210
0.90000	-0.52378	-0.50811
1.00000	-0.52321	0.00572
1.10000	-0.47131	0.51899
1.20000	-0.37318	0.98135
1.30000	-0.23843	1.34743
1.40000	-0.08030	1.58134
1.50000	0.08571	1.66011
1.60000	0.24331	1.57603
1.70000	0.37705	1.33734
1.80000	0.47379	0.96745
1.90000	0.52406	0.50266
2.00000	0.52292	-0.01144
2.10000	0.47047	-0.52442
2.20000	0.37188	-0.98595
2.30000	0.23680	-1.35077
2.40000	0.07849	-1.58307
2.50000	-0.08751	-1.66007
2.60000	-0.24493	-1.57422
2.70000	-0.37833	-1.33394
2.80000	-0.47461	-0.96280
2.90000	-0.52433	-0.49721
3.00000	-0.52261	0.01716
3.10000	-0.46963	0.52984
3.20000	-0.37058	0.99055
3.30000	-0.23517	1.35408
3.40000	-0.07669	1.58478
3.50000	0.08931	1.66001
3.60000	0.24655	1.57240
3.70000	0.37961	1.33053
3.80000	0.47542	0.95814
3.90000	0.52459	0.49175
4.00000	0.52231	-0.02288
4.10000	0.46878	-0.53526
4.20000	0.36927	-0.99513
4.30000	0.23353	-1.35738
4.40000	0.07488	-1.58648
4.50000	-0.09111	-1.65993
4.60000	-0.24817	-1.57055
4.70000	-0.38088	-1.32710
4.80000	-0.47622	-0.95346
4.90000	-0.52485	-0.48628
5.00000	-0.52199	0.02860
5.10000	-0.46793	0.54067
5.20000	-0.36796	0.99971
5.30000	-0.23189	1.36067
5.40000	-0.07307	1.58815
5.50000	0.09291	1.65984
5.60000	0.24978	1.56869
5.70000	0.38215	1.32366
5.80000	0.47702	0.94877
5.90000	0.52510	0.48081
6.00000	0.52167	-0.03431
6.10000	0.46707	-0.54607
6.20000	0.36664	-1.00427
6.30000	0.23024	-1.36394
6.40000	0.07126	-1.58981
6.50000	-0.09471	-1.65972
6.60000	-0.25139	-1.56681
6.70000	-0.38341	-1.32020
6.80000	-0.47782	-0.94407
6.90000	-0.52535	-0.47534
7.00000	-0.52135	0.04003
7.10000	-0.46620	0.55147
7.20000	-0.36532	1.00881
7.30000	-0.22860	1.36719
7.40000	-0.06945	1.59145
7.50000	0.09650	1.65958
7.60000	0.25299	1.56491
7.70000	0.38467	1.31672
7.80000	0.47860	0.93936
7.90000	0.52559	0.46985
8.00000	0.52101	-0.04575
8.10000	0.46533	-0.55686
8.20000	0.36399	-1.01335
8.30000	0.22695	-1.37043
8.40000	0.06764	-1.59306
8.50000	-0.09830	-1.65942
8.60000	-0.25460	-1.56299
8.70000	-0.38592	-1.31323
8.80000	-0.47939	-0.93464
8.90000	-0.52582	-0.46437
9.00000	-0.52068	0.05147
9.10000	-0.46445	0.56225
9.20000	-0.36266	1.01787
9.30000	-0.22530	1.37365
9.40000	-0.06583	1.59466
9.50000	0.10009	1.65924
9.60000	0.25620	1.56105
9.70000	0.38717	1.30972
9.80000	0.48016	0.92991
9.90000	0.52605	0.45887
10.00000	0.52033	-0.05718
10.10000	0.46357	-0.56763
