Time [s]	Angle [rad]	Angular velocity [rad/s]
0.00000	0.52350	0.00000
0.10000	0.47446	-0.49042
0.20000	0.38060	-0.93859
0.30000	0.25030	-1.30301
0.40000	0.09570	-1.54600
0.50000	-0.06828	-1.63973
0.60000	-0.22556	-1.57281
0.70000	-0.36090	-1.35341
0.80000	-0.46160	-1.00701
0.90000	-0.51861	-0.57009
1.00000	-0.52699	-0.08384
1.10000	-0.48604	0.40954
1.20000	-0.39926	0.86779
1.30000	-0.27434	1.24914
1.40000	-0.12285	1.51491
1.50000	0.04066	1.63512
1.60000	0.20018	1.59524
1.70000	0.34020	1.40017
1.80000	0.44749	1.07283
1.90000	0.51232	0.64836
2.00000	0.52907	0.16747
2.10000	0.49630	-0.32767
2.20000	0.41682	-0.79480
2.30000	0.29762	-1.19196
2.40000	0.14966	-1.47964
2.50000	-0.01293	-1.62591
2.60000	-0.17425	-1.61323
2.70000	-0.31857	-1.44315
2.80000	-0.43216	-1.13589
2.90000	-0.50466	-0.72502
3.00000	-0.52973	-0.25070
3.10000	-0.50523	0.24500
3.20000	-0.43325	0.71981
3.30000	-0.32008	1.13166
3.40000	-0.17605	1.44032
3.50000	-0.01484	1.61214
3.60000	0.14783	1.62669
3.70000	0.29605	1.48219
3.80000	0.41565	1.19599
3.90000	0.49564	0.79988
4.00000	0.52897	0.33332
4.10000	0.51280	-0.16174
4.20000	0.44849	-0.64303
4.30000	0.34165	-1.06840
4.40000	0.20194	-1.39708
4.50000	0.04256	-1.59385
4.60000	-0.12100	-1.63558
4.70000	-0.27272	-1.51717
4.80000	-0.39801	-1.25294
4.90000	-0.48528	-0.87272
5.00000	-0.52680	-0.41513
5.10000	-0.51899	0.07808
5.20000	-0.46252	0.56466
5.30000	-0.36228	1.00239
5.40000	-0.22728	1.35006
5.50000	-0.07016	1.57111
5.60000	0.09382	1.63988
5.70000	0.24862	1.54798
5.80000	0.37928	1.30658
5.90000	0.47362	0.94337
6.00000	0.52321	0.49593
6.10000	0.52378	0.00576
6.20000	0.47529	-0.48490
6.30000	0.38191	-0.93381
6.40000	0.25197	-1.29942
6.50000	0.09757	-1.54400
6.60000	-0.06638	-1.63957
6.70000	-0.22383	-1.57449
6.80000	-0.35951	-1.35674
6.90000	-0.46067	-1.01161
7.00000	-0.51822	-0.57551
7.10000	-0.52718	-0.08959
7.20000	-0.48678	0.40395
7.30000	-0.40050	0.86285
7.40000	-0.27597	1.24532
7.50000	-0.12470	1.51262
7.60000	0.03876	1.63464
7.70000	0.19842	1.59662
7.80000	0.33875	1.40325
7.90000	0.44647	1.07725
8.00000	0.51184	0.65367
8.10000	0.52916	0.17320
8.20000	0.49696	-0.32202
8.30000	0.41799	-0.78971
8.40000	0.29919	-1.18792
8.50000	0.15149	-1.47707
8.60000	-0.01102	-1.62511
8.70000	-0.17245	-1.61429
8.80000	-0.31705	-1.44595
8.90000	-0.43106	-1.14011
9.00000	-0.50408	-0.73022
9.10000	-0.52972	-0.25639
9.20000	-0.50579	0.23930
9.30000	-0.43433	0.71460
9.40000	-0.32159	1.12741
9.50000	-0.17784	1.43748
9.60000	-0.01674	1.61102
9.70000	0.14600	1.62745
9.80000	0.29448	1.48472
9.90000	0.41448	1.20000
10.00000	0.49497	0.80494
10.10000	0.52887	0.33896
